职位名称,公司名称,工作地点,参考月薪,学历要求,发布时间,岗位职责
核算会计/成本/费用,七个半裁缝（厦门）时尚服饰有限公司,厦门市思明区、厦门市集美区,5250,大专,2019-5-14 9:51,岗位职责：1、协助财务总监完善公司会计核算体系，负责公司会计基础的建设工作；2、开展日常的会计核算业务、日清月结；3、负责定期、不定期进行库存现金盘点；4、负责每月底与银行对账，并编制银行余额调节...
客户经理,金砖普惠（厦门）信息咨询有限公司,厦门市湖里区,8000,高中,2019-5-14 9:49,岗位职责：1、负责开发有资金需求的客户；　　2、不定期拜访客户，与客户进行沟通，及时掌握客户资质，了解客户状态；3、负责接待客户的业务咨询及为客户办理各项贷款业务；4、收集客户的其他必要文件和信息...
"兼职客服专员
                            [兼职]",金砖普惠（厦门）信息咨询有限公司,厦门市湖里区,5000,,2019-5-14 9:49,一、岗位职责：开发有资金需求的贷款客户。二、任职资格：普通话标准，声音甜美，在校大学生优先。三、薪资待遇：日薪80元+业绩提成30%+客户到访奖励20元/人，薪资按周结算，提成按单结算。四、工...
POS机推广专员,金砖普惠（厦门）信息咨询有限公司,厦门市湖里区,8000,高中,2019-5-14 9:49,一、岗位职责：1、负责公司POS机的销售及推广。2、开拓新市场，发展新客户，提高产品市场占有率。3、维护与客户长期良好的合作关系，做好售后服务。二、岗位要求：1、有pos机销售或金融行业销售经验。...
团队主任,金砖普惠（厦门）信息咨询有限公司,厦门市湖里区,10000,高中,2019-5-14 9:49,一、岗位职责：1、根据公司产品特点，带领营销团队拓展贷款客户资源，持续开发新客户。2、根据业务要求，定期回访老客户，维护新老客户关系。3、负责对团队成员的培训与考核。4、完成公司制定的团队销售业绩...
基金经理,惠尔明（福建）化学工业股份有限公司,厦门市湖里区,6500,本科,2019-5-14 9:48,工作内容：1、负责基金产品的设计、研发，制定相应的风险控制措施；2、进行市场调研，并制定产品发行计划及项目推介资料；3、开拓及维护产品供应商及客户，保持良好的关系；任职要求：1、金融、财务、法律...
证券代表,惠尔明（福建）化学工业股份有限公司,厦门市湖里区,0,本科,2019-5-14 9:48,工作内容1、每个季度的券商全套持续督导工作底稿收集（如月度信息披露调查表、三会决议及公告文件、公司新增的制度文件、信息披露自查报告等相关文件）2、负责公司三会（董事会、监事会、股东大会）会议文件及年...
客服顾问专员,厦门微手指信息科技有限公司,厦门市、厦门市湖里区,7500,高中,2019-5-14 9:47,【招聘条件】1、20-38周岁，品行端正，男女不限；2、对客服感兴趣，热爱客服行业者；3、为人正直诚实，肯吃苦。【岗位职责】1、具备快速的学习能力；2、性格外向、反应敏捷、表达能力强，具有较强的沟通...
客服助理,厦门微手指信息科技有限公司,厦门市湖里区,10000,高中,2019-5-14 9:47,岗位职责:（1）利用公司提供的客户资源挖掘出客户潜在的贷款需求，为客户推荐合适的贷款方案，最终达成交易。 （2）主要以电话或社交软件等营销方式与客户进行沟通。 （3）邀约客户成功后，在经理或主管的带领下与客...
房产销售精英,厦门麦田人房地产代理有限公司厦禾路分公司,厦门市、厦门市思明区、厦门市湖里区、厦门市同安区、厦门市翔安区、厦门市海沧区、厦门市集美区,7500,大专,2019-5-14 9:47,同样是做销售，房产交易可能给你带来更多机会；同样付出努力，房产交易可能给你带来丰厚收入；同样为客户服务，帮客户找到一个温暖的家可能带给你更多成就感；同样付出青春，房产交易相对容易帮你留在你付出青...
金融、财务、会计、审计,君维诚信用评估有限公司厦门分公司,厦门市、福州市,3500,本科,2019-5-14 9:47,"1、年龄23-35岁之间，具有财务,金融，审计等相关专业正规院校本科及以上学历；2、较好的金融、经济理论功底，具备一定的研究分析能力； 3、具备优秀的语言表达能力，沟通能力较强； 4、具有良好的执业操守，..."
评级分析助理,君维诚信用评估有限公司厦门分公司,厦门市,4000,本科,2019-5-14 9:47,"1、年龄23-35岁之间，具有财务,金融，审计等相关专业正规院校本科及以上学历；2、较好的金融、经济理论功底，具备一定的研究分析能力； 3、具备优秀的语言表达能力，沟通能力较强； 4、具有良好的执业操守，..."
"财务，会计，金融，审计
                            [实习]",君维诚信用评估有限公司厦门分公司,厦门市、福建省、厦门市思明区,1500,大专,2019-5-14 9:47,"1、2019年毕业，具有财务,金融，审计等相关专业正规院校大专及以上学历；2、较好的金融、经济理论功底，具备一定的研究分析能力； 3、具备优秀的语言表达能力，沟通能力较强；"
业务经理,君维诚信用评估有限公司厦门分公司,厦门市思明区,7000,本科,2019-5-14 9:47,1、具有良好的语言表达能力及分析判断能力； 2、有积极进取的精神及接受挑战的性格；3、具备较强的学习能力和优秀的沟通能力；4、负责搜集行业客户并进行沟通， 寻找业务机会；5、定期与合作客户进行沟通，...
高级投资经理,厦门福信金融控股有限公司,厦门市,0,硕士研究生,2019-5-14 9:47,岗位职责：1、负责项目投资全过程，参与公司投资管理流程及制度体系建设；2、负责对投资项目筛选、研究分析、尽职调查及提供投资建议；3、负责编写项目评估报告、可行性研究报告、立项报告等；4、负责或参与...
投资部总经理助理,厦门福信金融控股有限公司,厦门市思明区,0,硕士研究生,2019-5-14 9:47,岗位职责：1、负责项目投资全过程，参与公司投资管理流程及制度体系建设；2、负责对投资项目筛选、研究分析、尽职调查及提供投资建议；3、负责编写项目评估报告、可行性研究报告、立项报告等；4、负责或参与...
资金经理,厦门福信金融控股有限公司,厦门市,0,本科,2019-5-14 9:47,岗位职责：1、负责金融行业以及市场的研究和评估；2、负责融资方案的策划，编制融资项目的可行性分析报告，提出融资项目的具体运作方案；3、负责与目标融资机构例如银行进行商谈，确认融资的具体方案；4、负...
电话客服,厦门雄莲芯商务咨询有限公司,厦门市思明区,6500,高中,2019-5-14 9:47,"工作内容：通过电话方式.信函与相关客户沟通,协助处理信用卡或.贷款逾期客户的处理，指导客户正确缴费，督促客户及时还款。----------------------------------------------------------------------------薪资..."
基金经理,华龙证券股份有限公司福建分公司,厦门市思明区,8000,本科,2019-5-14 9:46,1、岗位职责：1.1、全面负责公司投研部的日常管理工作；1.2、制订公司投资研究计划并组织实施，提供及时有效的研究支持；1.3、调研同业机构客户服务创新情况和客户需求，吸收借鉴同业创新成果和进行自主创新；...
财富管理中心副总监,华龙证券股份有限公司福建分公司,厦门市思明区,22500,本科,2019-5-14 9:46,岗位职责：1、根据营业部的业务发展战略，协助部门总监制定部门战略规划和产品销售策略计划；2、负责建立、补充、发展、培养理财经理队伍；3、负责团队营销渠道的公关、协调、维护、管理；4、利用自身资源建...
高级客户经理,华龙证券股份有限公司福建分公司,厦门市思明区,11500,大专,2019-5-14 9:46,一、岗位职责：1. 证券经纪业务、渠道开发维护、新老客户维护及二次开发。2. 投行业务、私募机构、资管业务的开发。3. 公司其他创新型业务的开拓，产品销售。二、任职要求：1、40岁以下，大专以上学历，...
财富管理中心 理财经理,华龙证券股份有限公司福建分公司,厦门市思明区,16000,本科,2019-5-14 9:46,岗位职责：1、私募产品的引进及金融产品的推广销售；2、负责开发高净值客户，挖掘客户财富管理需求，为客户制订合适的资产配置方案；3、利用自身资源建立有效合作渠道，负责银行、信托、基金等渠道的开拓；4...
"证券经纪人
                            [兼职]",华龙证券股份有限公司福建分公司,厦门市,0,,2019-5-14 9:46,岗位要求：1、具备证券从业资格，熟悉证券业务，大专以上学历，年龄不限（客户资源丰富者可适当放宽要求）；2、正直诚实，品行良好，有较强的风险意识，综合素质较高；3、对证券行业和营销工作有浓厚兴趣，善...
证券业务/证券销售,华龙证券股份有限公司福建分公司,厦门市思明区,7500,大专,2019-5-14 9:46,一、岗位职责：1、开发和维护营销渠道，开发新客户，组织策划营销活动；2、通过手机开户、网上开户、现场开户的等方式指导客户办理证券账户；3、对老客户进行日常维护，建立良好关系进行二次开发和转介绍开发...
客户经理,华龙证券股份有限公司福建分公司,厦门市思明区,7500,,2019-5-14 9:46,一、岗位职责：1.通过手机开户、网上开户、现场开户等方式指导客户办理证券账户。2.对新、老客户进行日常维护，建立良好关系进行二次开发和转介绍开发。3.开发和维护营销渠道（银行、社区等），通过营销渠道开...
数据挖掘分析师,趣游（厦门）科技有限公司,厦门市湖里区、福建省、厦门市,9000,硕士研究生,2019-5-14 9:45,岗位职责：1. 主导整个项目数据收集和分析流程，精准提炼数据和分析，形成结论，并跟踪反馈整个过程；2. 熟悉游戏分析的相关指标体系，有自己的深入见解；有ARPG、传奇类游戏分析经验的优先；3. 独立主导建设...
总经理助理,众意邦仁健康科技（厦门）有限公司,厦门市,9000,本科,2019-5-14 9:45,岗位职责:1.协助总经理（女）处理日常行程安排；2.收集整理行业资讯、信息、资源关系，维护并有效地资源整合、提供给总经理。3.协助总经理处理各项商务活动和外联活动并就后续的落实跟进，协调沟通外部公共关...
租赁公司风控总监,厦门元谷节能环保集团有限公司,厦门市思明区,11500,本科,2019-5-14 9:44,一、岗位职责：1.根据公司战略要求和业务发展规划，制定并不断完善风险管理内部控制体系，包括风险控制体系、制度流程体系、组织和监督评价体系。完善项目管理和风险防范机制，加强业务审核、流程管控、资产管理等...
数据分析师,厦门多快好省网络科技有限公司,厦门市、厦门市思明区,12000,本科,2019-5-14 9:41,"职位诱惑：弹性上班时间，周末双休，缴纳五险一金薪酬福利好,平台背景强,成长空间大,团队氛围好职位描述：你将加入的团队：谁牛金融是互联网金融行业中专注于基金投资的平台。由厦门市鑫鼎盛控股有限公..."
抵押业务员+双休,厦门市恒辰商务服务有限公司,厦门市思明区,9000,,2019-5-14 9:41,岗位职责：1、负责搜集新客户的资料并进行沟通，开发新客户；2、通过电话与客户进行有效沟通了解客户需求，寻找销售机会并完成销售业绩；3、维护老客户的业务，挖掘客户的最大潜力；4、定期与合作客户进行沟...
代办专员（双休+医社保）,厦门市恒辰商务服务有限公司,厦门市思明区,4000,,2019-5-14 9:41,一、岗位职责：1、推广渠道、和直接客户业务2、对客户的资信状况作出全面了解，向客户推荐适合的金融按揭方式，并配合销售顾问达成销售。3、收集按揭客户的资料并录入系统4、收集已审核的客户资料，办理按揭...
综合金融客户经理,厦门市恒辰商务服务有限公司,厦门市思明区,3500,,2019-5-14 9:41,岗位要求： 1.金融、市场营销、经济类专业等；2.敏锐的市场洞察力和拓展意识； 3.具备良好的沟通谈判能力、团队协作能力以及人际交往能力。 4.具备良好的心态，能承受工作压力； 5.有从事过金融行业、肯吃...
